#x/b    y/b     z/b     U       V       W       SigmaU  SigmaV  SigmaW  k
0.000 	0.000 	2.750 	5.307 	-0.011 	0.144 	0.803 	0.633 	0.523 	0.660 
0.000 	0.000 	3.500 	5.402 	-0.041 	-0.047 	0.771 	0.605 	0.527 	0.619 


0.500 	0.000 	2.125 	2.743 	0.007 	-0.330 	1.689 	1.254 	0.873 	2.594 
0.500 	0.000 	2.375 	4.824 	-0.022 	-0.411 	1.303 	0.842 	0.588 	1.376 
0.500 	0.000 	2.750 	5.212 	-0.012 	-0.139 	0.786 	0.655 	0.530 	0.664 
0.500 	0.000 	3.500 	5.504 	-0.039 	-0.139 	0.789 	0.582 	0.529 	0.621 


0.750 	0.000 	0.125 	-0.641 	-0.077 	0.318 	0.624 	0.753 	0.409 	0.562 
0.750 	0.000 	0.500 	-0.576 	-0.094 	0.374 	0.606 	0.776 	0.517 	0.618 
0.750 	0.000 	1.000 	-0.522 	-0.060 	0.550 	0.582 	0.717 	0.569 	0.588 
0.750 	0.000 	1.500 	-0.345 	-0.028 	0.629 	0.569 	0.650 	0.560 	0.530 
0.750 	0.000 	1.750 	-0.055 	-0.006 	0.547 	0.588 	0.620 	0.521 	0.501 
0.750 	0.000 	2.000 	2.273 	0.000 	-0.347 	1.281 	1.027 	0.828 	1.691 
0.750 	0.000 	2.125 	3.487 	0.024 	-0.505 	1.497 	1.168 	0.811 	2.131 
0.750 	0.000 	2.375 	4.689 	-0.007 	-0.485 	1.249 	0.880 	0.612 	1.354 
0.750 	0.000 	2.750 	5.213 	-0.021 	-0.260 	0.831 	0.642 	0.533 	0.693 
0.750 	0.000 	3.500 	5.463 	-0.038 	-0.167 	0.770 	0.585 	0.526 	0.606 


1.250 	0.000 	0.125 	-0.707 	-0.164 	0.354 	0.811 	1.058 	0.502 	1.015 
1.250 	0.000 	0.500 	-0.739 	-0.159 	0.350 	0.749 	0.999 	0.762 	1.070 
1.250 	0.000 	1.000 	-0.568 	-0.127 	0.311 	0.788 	1.006 	0.836 	1.166 
1.250 	0.000 	1.500 	-0.053 	-0.099 	0.147 	0.834 	1.063 	0.923 	1.339 
1.250 	0.000 	1.750 	0.748 	-0.059 	-0.232 	0.993 	1.042 	1.030 	1.566 
1.250 	0.000 	2.000 	3.018 	-0.029 	-0.781 	1.409 	1.031 	0.924 	1.951 
1.250 	0.000 	2.125 	3.768 	0.000 	-0.763 	1.386 	1.013 	0.798 	1.792 
1.250 	0.000 	2.375 	4.624 	-0.009 	-0.546 	1.115 	0.849 	0.619 	1.174 
1.250 	0.000 	2.750 	5.113 	-0.034 	-0.290 	0.825 	0.653 	0.539 	0.699 
1.250 	0.000 	3.500 	5.369 	-0.037 	-0.173 	0.778 	0.570 	0.539 	0.610 


2.000 	0.000 	0.125 	0.225 	-0.056 	0.191 	0.928 	1.066 	0.516 	1.132 
2.000 	0.000 	0.500 	0.463 	-0.032 	0.121 	0.962 	1.173 	0.811 	1.480 
2.000 	0.000 	1.000 	0.766 	-0.055 	-0.067 	1.025 	1.302 	1.002 	1.875 
2.000 	0.000 	1.500 	1.441 	-0.025 	-0.390 	1.046 	1.256 	1.102 	1.943 
2.000 	0.000 	1.750 	2.226 	-0.010 	-0.582 	1.151 	1.124 	1.089 	1.887 
2.000 	0.000 	2.000 	3.264 	-0.020 	-0.696 	1.240 	0.999 	0.892 	1.666 
2.000 	0.000 	2.125 	3.805 	-0.019 	-0.647 	1.227 	0.939 	0.784 	1.501 
2.000 	0.000 	2.375 	4.549 	-0.015 	-0.509 	1.013 	0.796 	0.632 	1.030 
2.000 	0.000 	2.750 	4.927 	-0.030 	-0.319 	0.847 	0.661 	0.564 	0.736 
2.000 	0.000 	3.500 	5.394 	-0.057 	-0.172 	0.795 	0.567 	0.558 	0.632 


3.250 	0.000 	0.125 	1.402 	0.001 	0.045 	0.839 	0.885 	0.474 	0.856 
3.250 	0.000 	0.500 	1.841 	0.008 	-0.066 	0.901 	1.085 	0.734 	1.264 
3.250 	0.000 	1.000 	2.363 	0.009 	-0.226 	0.944 	1.159 	0.886 	1.510 
3.250 	0.000 	1.500 	2.873 	0.002 	-0.426 	0.998 	1.038 	0.935 	1.474 
3.250 	0.000 	1.750 	3.331 	0.004 	-0.429 	1.069 	0.957 	0.876 	1.413 
3.250 	0.000 	2.000 	3.844 	-0.005 	-0.423 	1.054 	0.862 	0.770 	1.223 
3.250 	0.000 	2.125 	4.080 	0.000 	-0.400 	1.044 	0.833 	0.721 	1.152 
3.250 	0.000 	2.375 	4.556 	-0.012 	-0.301 	0.968 	0.742 	0.634 	0.945 
3.250 	0.000 	2.750 	4.876 	-0.023 	-0.254 	0.832 	0.645 	0.567 	0.715 
3.250 	0.000 	3.500 	5.343 	-0.042 	-0.177 	0.771 	0.556 	0.545 	0.600 
